股票代號,買進日期,賣出日期,買進價格,賣出價格,做多機率(買進時),做空機率(賣出時),報酬率,賣出原因
3081,2025-02-04,2025-02-06,485.0,469.0,0.757099986076355,N/A (被擠出),-0.0386,滿檔換股
8096,2025-02-06,2025-02-21,50.3,73.0,0.7631999850273132,N/A (被擠出),0.4428,滿檔換股
2049,2025-02-21,2025-03-10,356.5,290.0,0.7943000197410583,N/A (價格觸發),-0.1913,高點回落20%停損
4763,2025-03-11,2025-03-27,1100.0,904.0,0.8032,N/A (價格觸發),-0.183,高點回落20%停損
5530,2025-03-28,2025-04-01,76.4,75.1,0.7363,N/A (被擠出),-0.0228,滿檔換股
5351,2025-04-01,2025-04-08,27.55,23.15,0.7562999725341797,N/A (價格觸發),-0.1646,高點回落20%停損
3211,2025-04-09,2025-04-15,133.0,152.0,0.8106,N/A (被擠出),0.1362,滿檔換股
3450,2025-04-15,2025-08-01,191.5,188.8,0.8237000107765198,N/A (價格觸發),-0.0199,高點回落20%停損
3017,2025-08-04,2025-08-05,905.0,975.0,0.802299976348877,N/A (被擠出),0.0711,滿檔換股
2383,2025-08-05,2025-08-08,1140.0,1140.0,0.8130000233650208,N/A (被擠出),-0.0058,滿檔換股
3081,2025-08-08,2025-10-13,390.0,417.0,0.84579998254776,N/A (價格觸發),0.063,高點回落20%停損
6139,2025-10-14,2025-10-30,437.0,458.5,0.8136000037193298,N/A (被擠出),0.0431,滿檔換股
2344,2025-10-30,2025-11-20,55.7,55.28,0.829,N/A (價格觸發),-0.0133,高點回落20%停損
3706,2025-11-21,2025-12-17,86.7,81.0,0.815,N/A (被擠出),-0.0712,滿檔換股
4931,2025-12-17,2026-01-12,174.0,159.2,0.8452,N/A (價格觸發),-0.0904,高點回落20%停損
3715,2026-01-13,2026-01-19,146.5,135.0,0.801,N/A (被擠出),-0.0839,滿檔換股
1519,2026-01-19,2026-01-21,963.0,982.0,0.8065000176429749,N/A (被擠出),0.0138,滿檔換股
2303,2026-01-21,2026-01-30,70.9,63.76,0.825,N/A (價格觸發),-0.106,高點回落20%停損
4979,2026-02-02,2026-02-04,315.0,314.0,0.7787,N/A (被擠出),-0.009,滿檔換股
1519,2026-02-04,2026-02-24,939.0,975.0,0.8216000199317932,N/A (被擠出),0.0323,滿檔換股
2360,2026-02-24,2026-03-09,1210.0,1240.0,0.8228,N/A (價格觸發),0.0188,高點回落20%停損
4931,2026-03-10,2026-03-24,123.5,136.5,0.7979,N/A (被擠出),0.0988,滿檔換股
1795,2026-03-24,2026-04-08,208.5,216.0,0.8176,N/A (被擠出),0.0299,滿檔換股
3163,2026-04-08,2026-04-27,1110.0,1052.0,0.8245,N/A (價格觸發),-0.0578,高點回落20%停損
2481,2026-04-28,2026-04-29,102.5,99.0,0.7709,N/A (被擠出),-0.0398,滿檔換股
2454,2026-04-29,2026-04-30,2550.0,2665.0,0.7898,N/A (被擠出),0.039,滿檔換股
8358,2026-04-30,2026-05-05,374.0,405.0,0.7958,N/A (被擠出),0.0766,滿檔換股
6415,2026-05-05,2026-05-06,430.0,450.0,0.8074,N/A (被擠出),0.0404,滿檔換股
2303,2026-05-06,2026-05-14,88.5,102.0,0.8133000135421753,N/A (被擠出),0.1458,滿檔換股
6415,2026-05-14,2026-05-29,492.0,626.0,0.8239,N/A (被擠出),0.2649,滿檔換股
6271,2026-05-29,2026-05-29,250.0,247.0,0.8441,N/A,-0.0178,期末平倉
