股票代號,買進日期,賣出日期,買進價格,賣出價格,做多機率(買進時),做空機率(賣出時),報酬率,賣出原因
3081,2025-02-04,2025-02-06,485.0,469.0,0.7495999932289124,N/A (被擠出),-0.0386,滿檔換股
8096,2025-02-06,2025-02-10,50.3,55.0,0.7681999802589417,N/A (被擠出),0.0871,滿檔換股
4576,2025-02-10,2025-02-21,168.0,162.0,0.7685,N/A (被擠出),-0.0413,滿檔換股
2049,2025-02-21,2025-03-10,356.5,290.0,0.781499981880188,N/A (價格觸發),-0.1913,高點回落20%停損
4763,2025-03-11,2025-03-27,1100.0,904.0,0.8074,N/A (價格觸發),-0.183,高點回落20%停損
5530,2025-03-28,2025-03-31,76.4,75.0,0.7158,N/A (被擠出),-0.0241,滿檔換股
2395,2025-03-31,2025-04-01,374.5,375.0,0.7246,N/A (被擠出),-0.0045,滿檔換股
6719,2025-04-01,2025-04-02,182.0,187.0,0.755,N/A (被擠出),0.0215,滿檔換股
5530,2025-04-02,2025-04-08,75.6,73.7,0.7612000107765198,N/A (被擠出),-0.0308,滿檔換股
6719,2025-04-08,2025-04-09,153.5,152.5,0.7773,N/A (被擠出),-0.0123,滿檔換股
3211,2025-04-09,2025-04-11,133.0,137.0,0.8044,N/A (被擠出),0.0241,滿檔換股
2014,2025-04-11,2025-04-15,16.25,16.8,0.8046,N/A (被擠出),0.0278,滿檔換股
3450,2025-04-15,2025-08-01,191.5,188.8,0.8059999942779541,N/A (價格觸發),-0.0199,高點回落20%停損
3017,2025-08-04,2025-08-07,905.0,1030.0,0.7798,N/A (被擠出),0.1315,滿檔換股
3081,2025-08-07,2025-10-13,391.5,417.0,0.8481000065803528,N/A (價格觸發),0.0589,高點回落20%停損
0050,2025-10-14,2025-12-17,61.85,62.15,0.8176000118255615,N/A (被擠出),-0.001,滿檔換股
4931,2025-12-17,2026-01-12,174.0,159.2,0.821,N/A (價格觸發),-0.0904,高點回落20%停損
0052,2026-01-13,2026-02-24,41.33,46.16,0.8023999929428101,N/A (被擠出),0.1103,滿檔換股
2360,2026-02-24,2026-03-09,1210.0,1240.0,0.8034,N/A (價格觸發),0.0188,高點回落20%停損
4931,2026-03-10,2026-03-26,123.5,155.5,0.7981,N/A (被擠出),0.2518,滿檔換股
2455,2026-03-26,2026-04-08,274.0,306.0,0.7998,N/A (被擠出),0.1103,滿檔換股
6274,2026-04-08,2026-05-28,723.0,1615.0,0.8162,N/A (被擠出),1.2207,滿檔換股
6271,2026-05-28,2026-05-29,252.5,247.0,0.8468000292778015,N/A,-0.0275,期末平倉
