股票代號,買進日期,賣出日期,買進價格,賣出價格,做多機率(買進時),做空機率(賣出時),報酬率,賣出原因,欄1
2618,2025/2/4,2025/2/5,46.7,45.75,0.7314,N/A (被擠出),-3%,滿檔換股,
3706,2025/2/5,2025/2/6,69,70.4,0.7362,N/A (被擠出),1%,滿檔換股,
1301,2025/2/6,2025/2/7,33.9,34.35,0.749,N/A (被擠出),1%,滿檔換股,
3019,2025/2/7,2025/2/10,180.5,185.5,0.763,0.8046,2%,做空模型預警賣出,
3019,2025/2/10,2025/2/11,185.5,183.5,0.7397,N/A (被擠出),-2%,滿檔換股,
2417,2025/2/11,2025/2/12,50.6,52.7,0.744,N/A (被擠出),4%,滿檔換股,
3363,2025/2/12,2025/2/13,363,343,0.7622,0.8166,-6%,做空模型預警賣出,
3294,2025/2/13,2025/2/14,40.65,41.7,0.7246,N/A (被擠出),2%,滿檔換股,
3661,2025/2/14,2025/2/17,3675,3625,0.7474,N/A (被擠出),-2%,滿檔換股,
8096,2025/2/17,2025/2/18,72.5,72,0.7721,0.8027,-1%,做空模型預警賣出,
8096,2025/2/18,2025/2/25,72,78,0.7568,N/A (被擠出),8%,滿檔換股,
2014,2025/2/25,2025/3/4,23,23.55,0.7722,N/A (被擠出),2%,滿檔換股,
2606,2025/3/4,2025/3/5,71.4,77,0.7852,0.8001,7%,做空模型預警賣出,
4533,2025/3/5,2025/3/6,41.25,40.75,0.7394,N/A (被擠出),-2%,滿檔換股,
8096,2025/3/6,2025/3/7,67.5,64.5,0.7622,N/A (被擠出),-5%,滿檔換股,
2408,2025/3/7,2025/4/8,36.8,34.9,0.7857,N/A (被擠出),-6%,滿檔換股,
3017,2025/4/8,2025/7/8,378,770,0.8129,0.8344,103%,做空模型預警賣出,
5483,2025/7/8,2025/7/11,95.7,97.9,0.7699,N/A (被擠出),2%,滿檔換股,
3661,2025/7/11,2025/9/24,3420,3576,0.801,N/A (價格觸發),4%,高點回落20%停損,
3450,2025/9/25,2025/9/30,274,276,0.7448,N/A (被擠出),0%,滿檔換股,
8299,2025/9/30,2025/10/2,689,796,0.7754,N/A (被擠出),15%,滿檔換股,
1802,2025/10/2,2025/10/9,28.5,32.05,0.7898,0.8039,12%,做空模型預警賣出,
1802,2025/10/9,2025/11/18,32.05,30.68,0.7959,N/A (價格觸發),-5%,高點回落20%停損,
2324,2025/11/19,2025/11/20,28.8,29.85,0.7216,N/A (被擠出),3%,滿檔換股,
6274,2025/11/20,2025/11/28,405.5,434,0.7631,0.817,6%,做空模型預警賣出,
3450,2025/11/28,2025/12/1,248.5,252.5,0.7392,N/A (被擠出),1%,滿檔換股,
2408,2025/12/1,2025/12/3,147,153,0.7462,0.8431,3%,做空模型預警賣出,
3711,2025/12/3,2025/12/15,233,237.5,0.7696,0.8044,1%,做空模型預警賣出,
8110,2025/12/15,2025/12/18,52.7,50.6,0.7483,N/A (被擠出),-5%,滿檔換股,
2368,2025/12/18,2025/12/22,581,626,0.7748,N/A (被擠出),7%,滿檔換股,
3711,2025/12/22,2026/2/10,234,358,0.8018,0.8086,52%,做空模型預警賣出,
3163,2026/2/10,2026/2/11,560,565,0.7818,N/A (被擠出),0%,滿檔換股,
2408,2026/2/11,2026/2/10,266.5,271,0.821,N/A,1%,期末平倉,
