股票代號,買進日期,賣出日期,買進價格,賣出價格,做多機率(買進時),做空機率(賣出時),報酬率,賣出原因
3078,2025-02-04,2025-02-05,80.1,86.5,0.7129,N/A (被擠出),0.0736,滿檔換股
3294,2025-02-05,2025-02-06,37.65,37.65,0.7168,N/A (被擠出),-0.0058,滿檔換股
4576,2025-02-06,2025-02-18,162.0,166.0,0.7592,N/A (被擠出),0.0187,滿檔換股
3376,2025-02-18,2025-03-11,290.5,242.0,0.788,N/A (價格觸發),-0.1718,高點回落20%停損
3548,2025-03-12,2025-03-13,167.5,172.0,0.7353,N/A (被擠出),0.0209,滿檔換股
3017,2025-03-13,2025-03-20,574.0,540.0,0.7399,N/A (被擠出),-0.0647,滿檔換股
6215,2025-03-20,2025-03-31,103.0,83.0,0.7696,N/A (價格觸發),-0.1989,高點回落20%停損
1514,2025-04-01,2025-04-07,100.5,95.4,0.703,N/A (被擠出),-0.0563,滿檔換股
6148,2025-04-07,2025-04-08,44.7,40.25,0.7196,N/A (被擠出),-0.1048,滿檔換股
00830,2025-04-08,2025-05-21,31.5,37.98,0.754800021648407,N/A (被擠出),0.1987,滿檔換股
3324,2025-05-21,2025-08-04,570.0,670.0,0.7635,N/A (被擠出),0.1686,滿檔換股
8358,2025-08-04,2025-08-12,112.0,133.0,0.7716,N/A (被擠出),0.1806,滿檔換股
3706,2025-08-12,2025-08-19,86.9,90.6,0.785,N/A (被擠出),0.0365,滿檔換股
1802,2025-08-19,2025-08-21,39.8,32.08,0.7955,N/A (價格觸發),-0.1987,高點回落20%停損
1815,2025-08-22,2025-09-03,71.6,65.6,0.7684,N/A (被擠出),-0.0892,滿檔換股
8358,2025-09-03,2025-09-15,219.0,222.8,0.7886,N/A (價格觸發),0.0114,高點回落20%停損
3211,2025-09-16,2025-09-17,381.0,374.0,0.7747,N/A (被擠出),-0.0241,滿檔換股
3017,2025-09-17,2025-09-26,1030.0,957.0,0.7891,N/A (被擠出),-0.0763,滿檔換股
8358,2025-09-26,2025-10-03,230.0,234.0,0.7995,0.804,0.0114,做空模型預警賣出
8358,2025-10-03,2025-10-14,234.0,225.0,0.7751,N/A (被擠出),-0.0441,滿檔換股
8033,2025-10-14,2025-10-27,146.0,116.8,0.8018,N/A (價格觸發),-0.2047,高點回落20%停損
5498,2025-10-28,2025-10-29,23.95,24.2,0.7052,N/A (被擠出),0.0045,滿檔換股
4989,2025-10-29,2025-11-18,40.55,42.24,0.749,N/A (價格觸發),0.0356,高點回落20%停損
2472,2025-11-19,2025-11-21,100.0,101.0,0.7062,N/A (被擠出),0.0041,滿檔換股
1815,2025-11-21,2025-12-16,83.9,83.6,0.7484,N/A (被擠出),-0.0094,滿檔換股
4157,2025-12-16,2025-12-22,15.2,12.16,0.7576,N/A (價格觸發),-0.2047,高點回落20%停損
1815,2025-12-23,2025-12-29,87.8,94.5,0.7182,N/A (被擠出),0.07,滿檔換股
4909,2025-12-29,2025-12-30,60.0,60.5,0.7214,N/A (被擠出),0.0024,滿檔換股
3163,2025-12-30,2026-01-13,373.0,342.8,0.7486000061035156,N/A (價格觸發),-0.0863,高點回落20%停損
3481,2026-01-14,2026-01-27,23.05,23.32,0.8054999709129333,N/A (價格觸發),0.0058,高點回落20%停損
5498,2026-01-28,2026-01-29,68.7,65.0,0.7192,N/A (被擠出),-0.0594,滿檔換股
2344,2026-01-29,2026-02-02,133.0,121.5,0.7396,N/A (被擠出),-0.0918,滿檔換股
2233,2026-02-02,2026-02-05,279.0,253.0,0.7551,N/A (被擠出),-0.0985,滿檔換股
3576,2026-02-05,2026-02-06,14.75,15.55,0.7627,N/A (被擠出),0.0481,滿檔換股
2409,2026-02-06,2026-02-10,15.3,14.7,0.7722,N/A (被擠出),-0.0448,滿檔換股
8996,2026-02-10,2026-02-23,916.0,895.0,0.7764,N/A (被擠出),-0.0286,滿檔換股
2344,2026-02-23,2026-03-09,114.5,95.9,0.7842,N/A (價格觸發),-0.1673,高點回落20%停損
5498,2026-03-10,2026-03-11,57.7,58.1,0.7474,N/A (被擠出),0.0011,滿檔換股
2367,2026-03-11,2026-03-12,65.3,68.6,0.7755,N/A (被擠出),0.0444,滿檔換股
3363,2026-03-12,2026-03-31,582.0,587.2,0.7860000133514404,N/A (價格觸發),0.003,高點回落20%停損
5386,2026-04-01,2026-04-08,286.0,333.5,0.7506999969482422,N/A (被擠出),0.1593,滿檔換股
3576,2026-04-08,2026-04-10,20.6,20.35,0.7549,N/A (被擠出),-0.0179,滿檔換股
2367,2026-04-10,2026-04-13,79.2,75.1,0.7746,N/A (被擠出),-0.0573,滿檔換股
3363,2026-04-13,2026-04-24,780.0,852.0,0.801,N/A (價格觸發),0.0859,高點回落20%停損
00981A,2026-04-27,2026-04-29,28.77,27.44,0.7681,N/A (被擠出),-0.0518,滿檔換股
2485,2026-04-29,2026-04-30,62.3,60.7,0.7681,N/A (被擠出),-0.0314,滿檔換股
6147,2026-04-30,2026-05-19,164.5,211.0,0.7852,N/A (被擠出),0.2752,滿檔換股
8064,2026-05-19,2026-05-28,130.5,143.0,0.7854,N/A (被擠出),0.0894,滿檔換股
8069,2026-05-28,2026-05-29,245.0,220.0,0.7898,N/A,-0.1073,期末平倉
