股票代號,買進日期,賣出日期,買進價格,賣出價格,做多機率(買進時),做空機率(賣出時),報酬率,賣出原因
6215,2025-02-04,2025-02-06,111.5,125.0,0.7486,0.8001,0.1145,做空模型預警賣出
4576,2025-02-06,2025-02-07,162.0,166.5,0.7306,N/A (被擠出),0.0218,滿檔換股
3211,2025-02-07,2025-02-20,172.5,180.0,0.7578999996185303,N/A (被擠出),0.0374,滿檔換股
3029,2025-02-20,2025-02-26,150.0,144.0,0.7613000273704529,N/A (被擠出),-0.0456,滿檔換股
2542,2025-02-26,2025-03-17,45.25,43.5,0.7628,N/A (被擠出),-0.0443,滿檔換股
6215,2025-03-17,2025-03-28,104.5,86.0,0.7672,N/A (價格觸發),-0.1818,高點回落20%停損
2328,2025-03-31,2025-04-01,46.3,45.45,0.7395,N/A (被擠出),-0.0241,滿檔換股
4931,2025-04-01,2025-04-02,84.9,83.3,0.7407,N/A (被擠出),-0.0246,滿檔換股
4763,2025-04-02,2025-04-08,878.0,727.0,0.7435,N/A (被擠出),-0.1768,滿檔換股
4979,2025-04-08,2025-04-10,136.5,135.0,0.7646,0.8095,-0.0168,做空模型預警賣出
8374,2025-04-10,2025-04-11,76.2,69.6,0.7659,N/A (被擠出),-0.0919,滿檔換股
1815,2025-04-11,2025-06-23,22.25,35.4,0.7704,N/A (被擠出),0.5817,滿檔換股
3163,2025-06-23,2025-07-10,176.0,183.0,0.7792,N/A (被擠出),0.0337,滿檔換股
3363,2025-07-10,2025-08-11,283.0,271.5,0.7814,N/A (被擠出),-0.0462,滿檔換股
2368,2025-08-11,2025-08-13,423.5,475.0,0.7837,N/A (被擠出),0.1151,滿檔換股
2345,2025-08-13,2025-10-22,1030.0,926.0,0.8224,N/A (價格觸發),-0.1062,高點回落20%停損
2408,2025-10-23,2025-11-06,108.5,142.0,0.8169999718666077,0.8034,0.3011,做空模型預警賣出
2408,2025-11-06,2025-11-07,142.0,148.5,0.7567,0.8077,0.0397,做空模型預警賣出
3711,2025-11-07,2025-11-10,231.0,229.0,0.7477,N/A (被擠出),-0.0144,滿檔換股
2408,2025-11-10,2025-11-13,153.0,164.5,0.8004000186920166,0.8119,0.0689,做空模型預警賣出
8996,2025-11-13,2025-11-14,511.0,528.0,0.7646999955177307,N/A (被擠出),0.0272,滿檔換股
2344,2025-11-14,2025-11-21,60.0,52.2,0.8393,N/A (價格觸發),-0.1351,高點回落20%停損
2344,2025-11-24,2025-11-26,53.0,57.0,0.7809,N/A (被擠出),0.0692,滿檔換股
2408,2025-11-26,2026-02-06,142.5,260.0,0.82669997215271,N/A (價格觸發),0.8139,高點回落20%停損
2337,2026-02-09,2026-02-11,88.8,89.1,0.7794,N/A (被擠出),-0.0025,滿檔換股
2303,2026-02-11,2026-02-24,62.9,64.3,0.7929,N/A (被擠出),0.0163,滿檔換股
3163,2026-02-24,2026-02-26,647.0,761.0,0.7938,N/A (被擠出),0.1693,滿檔換股
2330,2026-02-26,2026-04-20,2000.0,2030.0,0.8211,N/A (被擠出),0.0091,滿檔換股
3017,2026-04-20,2026-05-07,2410.0,2408.0,0.8352000117301941,N/A (價格觸發),-0.0067,高點回落20%停損
2383,2026-05-08,2026-05-29,4810.0,5120.0,0.8439000248908997,N/A,0.0582,期末平倉
