股票代號,買進日期,賣出日期,買進價,最高價,賣出價,報酬率,備註
3019,2025-02-05,2025-03-10,176.0,218.0,174.4,-0.009090909090909038,移動停損出場
3088,2025-02-07,2025-03-28,151.0,155.0,124.0,-0.17880794701986757,移動停損出場
3363,2025-02-11,2025-03-04,357.0,367.5,290.5,-0.18627450980392157,移動停損出場
3376,2025-02-14,2025-03-11,283.0,302.5,242.0,-0.14487632508833925,移動停損出場
6919,2025-02-14,2025-03-31,942.0,1020.0,816.0,-0.13375796178343946,移動停損出場
2332,2025-02-18,2025-03-11,24.3,24.55,19.64,-0.19176954732510287,移動停損出場
8096,2025-02-18,2025-03-03,77.7,81.8,65.44,-0.15778635778635786,移動停損出場
6206,2025-02-21,2025-03-06,172.5,178.5,142.8,-0.17217391304347818,移動停損出場
2014,2025-02-24,2025-03-31,22.85,26.15,20.92,-0.08446389496717721,移動停損出場
5439,2025-03-14,2025-04-08,167.5,195.5,154.0,-0.08059701492537319,移動停損出場
6227,2025-03-21,2025-03-28,137.0,137.0,109.6,-0.19999999999999996,移動停損出場
6829,2025-03-24,2025-04-07,165.0,173.0,133.0,-0.19393939393939397,移動停損出場
2468,2025-04-23,2025-05-19,67.6,86.2,68.96,0.020118343195266508,移動停損出場
3376,2025-04-25,2025-10-17,186.0,270.0,216.0,0.16129032258064524,移動停損出場
2606,2025-05-21,2025-06-30,60.0,60.5,48.4,-0.19333333333333325,移動停損出場
2329,2025-05-22,2026-02-02,37.45,71.1,56.7,0.514018691588785,移動停損出場
2615,2025-05-23,2025-06-06,126.5,128.0,102.4,-0.19051383399209487,移動停損出場
5234,2025-06-03,2025-10-20,230.0,446.0,356.8,0.5513043478260871,移動停損出場
2374,2025-06-10,2025-09-19,55.1,107.0,85.6,0.5535390199637025,移動停損出場
8210,2025-06-11,2025-11-24,380.5,1110.0,888.0,1.3337713534822604,移動停損出場
1616,2025-06-12,2025-07-04,35.35,44.85,35.88,0.014992927864215133,移動停損出場
6919,2025-06-23,2025-07-09,1235.0,1405.0,1124.0,-0.0898785425101215,移動停損出場
6274,2025-06-24,2025-09-15,224.0,372.5,298.0,0.3303571428571428,移動停損出場
1560,2025-06-25,2026-02-11,323.5,472.5,425.0,0.31375579598145276,期末強制平倉
4991,2025-07-04,2025-09-04,143.0,185.5,148.4,0.03776223776223775,移動停損出場
0050,2025-07-09,2026-02-11,48.85,77.45,77.2,0.5803480040941658,期末強制平倉
2345,2025-07-10,2025-10-22,813.0,1170.0,926.0,0.13899138991389903,移動停損出場
3661,2025-07-10,2025-09-24,3460.0,4470.0,3576.0,0.03352601156069368,移動停損出場
3017,2025-07-15,2025-09-03,853.0,1170.0,936.0,0.09730363423212185,移動停損出場
3189,2025-07-15,2025-11-10,99.2,158.5,126.8,0.278225806451613,移動停損出場
3443,2025-07-17,2026-02-06,1235.0,2830.0,2264.0,0.8331983805668015,移動停損出場
2455,2025-07-18,2025-11-21,136.0,170.0,136.0,0.0,移動停損出場
6139,2025-07-18,2026-02-11,345.0,640.0,512.0,0.48405797101449277,移動停損出場
8046,2025-07-18,2025-09-04,171.0,233.0,186.4,0.09005847953216373,移動停損出場
3715,2025-07-22,2025-09-02,62.3,116.5,93.2,0.4959871589085074,移動停損出場
1815,2025-07-23,2025-08-20,44.2,83.1,66.48,0.5040723981900452,移動停損出場
3081,2025-07-25,2025-10-13,385.5,532.0,417.0,0.08171206225680927,移動停損出場
8358,2025-07-28,2025-08-20,107.0,190.5,152.4,0.42429906542056073,移動停損出場
4916,2025-08-01,2025-09-25,60.5,72.3,57.84,-0.04396694214876029,移動停損出場
